Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Яковенко,Макар,Альбертівна,Чоловік,1963.01.01,Антрополог,місто Фастів,"площа Бородінська, буд. 51, Васильків, 17417",030 523-06-49,uiakovenko@example.net
Давимука,Святослава,Лаврентіївна,Жінка,1954.01.29,Нотаріус,місто Токмак,"парк Східний, буд. 98 кв. 8, Карлівка, 85893",+380 18 274-68-86,trokhymvermenych@example.org
Ватаманюк,Аніта,Зеновіївна,Жінка,1981.10.30,Музикознавець,селище Турка,"провулок Хутірська, буд. 12 кв. 662, Шепетівка, 35363",096 515 00 02,imakarenko@example.net
Верхола,Мілена,Аркадіївна,Жінка,1951.02.11,Няня,селище Армянськ,"шосе Крайня, буд. 499, Карлівка, 59162",+380 (80) 433-15-26,leonid89@example.net
Москаль,Лілія,Мінаївна,Жінка,1968.03.19,Няня,хутір Луганськ,"площа Сонячна, буд. 53, Новодружеськ, 69166",+380 08 903 68 19,chalyihordii@example.net
Ґереґа,Олесь,Філаретівна,Чоловік,2002.11.04,Фрілансер,місто Підгородне,"провулок Горбатий міст, буд. 45 кв. 635, Червоноград, 40905",043 909 49 67,iefymenkooleh@example.net
Чалий,Варфоломій,Юхиміанівна,Чоловік,1986.11.05,Провізор,село Жидачів,"вулиця Лузанівський 1-й, буд. 95, Харцизьк, 19479",031 090-07-58,pbebeshko@example.net
Дараган,Алевтин,Лідійовна,Чоловік,2002.10.05,Кінорежисер,село Київ,"площа Новомосковська дорога, буд. 233 кв. 599, Жовті Води, 34320",098 019 67 70,efareniuk@example.com
Редько,Арсен,Валеріївна,Чоловік,1964.09.28,Ґрунтознавець,село Благовіщенське,"набережна Бабеля, буд. 1 кв. 213, Татарбунари, 59303",008 938-96-21,ostaphuzenko@example.net
Швачка,Юхим,Климентівна,Чоловік,1996.04.29,Антрополог,хутір Гребінка,"площа Степна, буд. 25, Сокаль, 18247",+380 (28) 796-18-88,vashchenko-zakharchenkodemian@example.com
Ємець,Павло,Даніїлівна,Чоловік,1951.04.02,Епідеміолог,хутір Хрустальний,"сквер Пересипська 2-га, буд. 145, Житомир, 58139",+380 (18) 313-41-78,iakiv91@example.org
Журба,Володимира,Лаврінівна,Жінка,2002.07.07,Архітектор,місто Бориспіль,"парк Лесі Українки, буд. 13 кв. 6, Дубровиця, 48871",+380 (49) 872-82-78,mhaidabura@example.net
Кибкало,Софія,Мірілівна,Жінка,1965.10.04,Географ,хутір Гола Пристань,"парк Вертелецького, буд. 55, Дубровиця, 56752",468-00-82,anzhelademianenko@example.com
Аврамчук,Володимира,Сергійович,Жінка,1952.06.27,Акушер,село Трускавець,"вулиця Весела, буд. 17, Скалат, 09997",416 59 35,veniiamyn74@example.com
Дахно,Ада,Спартаківна,Жінка,1979.12.21,Палеонтолог,село Знам'янка,"проспект Туристський, буд. 24, Сновськ, 40391",+380 85 311-60-44,havrylovasylevych@example.org
Шухевич,Олекса,Єфросинівна,Чоловік,1989.05.23,Кіноактор,селище Угнів,"вулиця Павлова, буд. 0, Зугрес, 40152",040 652-31-84,azarverhun@example.org
Захаренко,Демʼян,Левівна,Чоловік,1980.01.05,Модель,хутір Ходорів,"шосе Чорноморський 7-й, буд. 1 кв. 95, Яготин, 48240",379-86-13,smykytiuk@example.com
Гайда,Федір,Даніїлівна,Чоловік,1987.10.10,Маркетолог,місто Обухів,"набережна Шоста, буд. 9 кв. 83, Марганець , 07169",+380 (33) 052-87-92,amvrosiibabych@example.org
Корсун,Азар,Олексіївна,Чоловік,2007.10.23,Бізнесмен,місто Волочиськ,"парк Прохоровський, буд. 167 кв. 66, Батурин, 63096",040 828 53 94,andriienkotymofii@example.org
Стус,Арсен,Юхиміанівна,Чоловік,1954.07.25,Менеджер,місто Ічня,"парк Маланова, буд. 8 кв. 688, Бар, 29942",+380 23 876 28 32,zsahal@example.net
Дубенко,Хома,Леонідович,Чоловік,1972.03.17,Кур'єр,село П'ятихатки,"провулок Собінова, буд. 2 кв. 3, Монастириська, 97209",+380 (86) 421-00-05,artymovychostap@example.org
Комар,Світлана,Андронікович,Жінка,1951.10.18,Будник,село Носівка,"узвіз Олександра Тимошенка, буд. 7 кв. 603, Новоукраїнка, 88645",021 184 53 70,okalenychenko@example.net
Гайдабура,Ірина,Аркадіївна,Жінка,1974.07.19,Палеонтолог,селище Перевальськ,"парк Данила Крижанівського, буд. 1 кв. 459, Білгород-Дністровський, 44173",+380 59 874-70-01,leopoldishchak@example.org
Перепелиця,Ольга,Іларіонівна,Жінка,1971.03.17,Краєзнавець,хутір Ямпіль,"шосе Верещагіна, буд. 6, Карлівка, 06303",006 435 64 65,nbatih@example.com
Василечко,Сніжана,Валентинівна,Жінка,1985.07.18,Бухгалтер,село Миронівка,"набережна Лиманчик 2-й Лінія 11-та, буд. 7, Новий Буг, 68784",+380 93 028-09-86,valenkoiukhym@example.com
Доценко,Семен,Іларіонівна,Чоловік,1953.12.12,Агроном,селище Середина-Буда,"шосе Чорноморський, буд. 106 кв. 18, Кривий Ріг, 66947",858 13 48,khomykihnat@example.org
Тесленко,Опанас,Олесьович,Чоловік,1984.09.23,Електрослюсар,місто Гребінка,"сквер Чернігівська, буд. 19 кв. 78, Іллінці, 31949",+380 (50) 069-02-82,azhazhabohodar@example.net
Гайденко,Борис,Всеволодівна,Чоловік,1959.07.31,Візажист,село Лубни,"вулиця Нежданової, буд. 9 кв. 315, Арциз, 65347",+380 (38) 849-67-51,mykhailoverhun@example.org
Вакарчук,Стефан,Андронімівна,Чоловік,2001.01.30,Фермер,хутір Южне,"провулок Восьмого березня 6-й, буд. 891 кв. 12, Остер , 73319",578 29 35,arkadii97@example.net
Щербак,Трохим,Юліанівна,Чоловік,1972.12.28,Гицель,село Суходільськ,"парк Новоукраїнський, буд. 0 кв. 3, Ірпінь, 31135",+380 (51) 335-89-12,iakovenkomyroslav@example.org
Шило,Альберт,Іпатіївна,Чоловік,1990.12.11,Скульптор,місто Балта,"шосе Магістральна, буд. 7 кв. 7, Почаїв, 01643",+380 61 910 09 67,liudmylaiatsenko@example.org
Гунько,Альбіна,Феодорівна,Жінка,1997.02.12,Краєзнавець,село Іловайськ,"узвіз Пестеля, буд. 432, Узин, 60829",009 138-57-91,rostyslav47@example.org
Ватаманюк,Альбіна,Олексіївна,Жінка,1971.02.23,Стиліст,село Кальміуське,"набережна Східчастий 3-й, буд. 06 кв. 6, Петрово-Красносілля, 65311",043 609 22 51,qpanchuk@example.com
Єфименко,Валентина,Гаврилівна,Жінка,2000.03.24,Мистецтвознавець,селище Рівне,"парк Композитора Ніщинського, буд. 6, Судак , 51116",+380 44 817-63-33,maksym77@example.net
Смик,Сніжана,Мар’янівна,Жінка,1977.02.23,Електрослюсар,село Часів Яр,"узвіз Савицький, буд. 2, Жидачів, 39321",+380 (48) 858-92-59,andrii19@example.com
Савенко,Стефан,Назаріївна,Чоловік,1996.07.18,Кухар,селище Богодухів,"парк Деревообробний 3-й, буд. 87 кв. 410, Прип'ять , 51298",009 191 60 91,edytaaleksandrenko@example.net
Оніщук,Пантелеймон,Силуанівна,Чоловік,2003.06.26,Фольклорист,місто Чорноморськ,"провулок Петрашевського, буд. 520 кв. 87, Золоте, 14280",608-39-28,demydriabchenko@example.net
Удовенко,Кирило,Мар’янович,Чоловік,2000.09.06,Лікар,село Монастириська,"парк Чорноморський 13-й, буд. 091, Винники, 05343",+380 72 709-15-22,gdanyliuk@example.net
Базилевич,Теодор,Філімонівна,Чоловік,2004.06.17,Публіцист,хутір Рубіжне,"провулок Селекційна, буд. 52 кв. 9, Очаків, 73538",022 06 94,adanko@example.org
Андрійчук,Іван,Лаврентіївна,Чоловік,1974.01.24,Бухгалтер,місто Нова Каховка,"площа Басейний 4-й, буд. 091, Хирів, 17824",500-48-77,vira00@example.com
Заєць,Панас,Анісіївна,Чоловік,2003.12.28,Правник,селище Рогатин,"парк Мала Садова, буд. 9 кв. 145, Миргород, 03049",+380 (67) 597-11-57,skorobohatkoarkadii@example.net
Шухевич,Аніта,Корнеліївна,Жінка,1994.12.09,Менеджер,хутір Новодністровськ,"узвіз Старосінна, буд. 7 кв. 76, Радивилів, 75007",008 959-90-90,prokhir82@example.com
Жарко,Софія,Ростиславівна,Жінка,1966.06.17,Паралегал,місто Волочиськ,"парк Розумовський 2-й, буд. 00 кв. 986, Боярка, 81744",+380 03 331 19 70,omelianzarudnyi@example.net
Журба,Мілена,Давидович,Жінка,1972.11.26,Актор,місто Святогірськ,"провулок Амбулаторна, буд. 5 кв. 1, Хирів, 75946",+380 79 438-64-25,tkhomyk@example.org
Пилипенко,Тетяна,Зеновіївна,Жінка,2002.07.30,Фрілансер,село Сімферополь,"сквер Матроський узвіз, буд. 210 кв. 443, Комарно, 07457",+380 (14) 617-30-61,orysiazakharenko@example.net
Аверченко,Федір,Юхимівна,Чоловік,1954.12.13,Льотчик,місто Кременець,"провулок Тимірязєва 3-й, буд. 7, Пологи , 30303",075 846-67-49,wskyba@example.org
Непорожній,Мирон,Ізмаїлівна,Чоловік,1963.05.08,Математик,селище Калуш,"шосе Ямчитського, буд. 386, Хуст, 19204",051 162-56-46,albertandreiko@example.net
Онищенко,Артем,Амвросіївна,Чоловік,1954.05.02,Програміст,місто Кам'янка (Черкаська область),"набережна Велика Арнаутська, буд. 6 кв. 14, Звенигородка, 38079",+380 70 386-13-84,nestor54@example.org
Кармалюк,Миколай,Іоаннівна,Чоловік,2000.07.09,Стиліст,місто Амвросіївка,"сквер Лузанівський 2-й, буд. 55 кв. 8, Мар'їнка, 86639",+380 (40) 156-74-90,valerii40@example.org
Лазаренко,Пантелеймон,Сергійович,Чоловік,1968.10.25,Публіцист,місто Старокостянтинів,"площа Скляний 2-й, буд. 9, Мирноград, 36850",+380 (36) 267-76-53,svitlana41@example.com
Захарченко,Микита,Назаріївна,Чоловік,2002.07.01,Професор,хутір Батурин,"проспект Ростовська, буд. 0 кв. 45, Золотоноша, 38964",+380 54 274 82 94,semenchenkosviatoslav@example.net
Фесенко,Віолетта,Борисович,Жінка,1970.09.12,Гірник,хутір Алушта,"парк Лузанівський 2-й, буд. 344 кв. 823, Оріхів, 93090",+380 28 011-34-75,dannademydenko@example.com
Кибкало,Ліза,Феодорівна,Жінка,1962.01.28,Євнух,місто Дергачі,"площа Красносільська, буд. 245, Антрацит , 63885",+380 20 664-03-73,akhomenko@example.com
Вахній,Ярослава,Тимофіївна,Жінка,1976.08.08,Фермер,місто Краматорськ,"сквер Вірського, буд. 707, Мена , 76047",+380 08 590-71-70,fsvystun@example.org
Юрченко,Єва,Никифорівна,Жінка,2007.04.09,Електротехнік,хутір Балта,"провулок Товарний, буд. 2 кв. 65, Джанкой, 11041",873 10 96,jlahoda@example.com
Перебийніс,Віктор,Семіонівна,Чоловік,1977.09.25,Доцент,село Бобринець,"набережна Маловського, буд. 1 кв. 84, Тростянець, 01968",268 96 01,heorhiiholyk@example.org
Радченко,Вʼячеслав,Ростиславівна,Чоловік,1991.04.02,Історик,хутір Антрацит ,"узвіз Прорізна, буд. 90 кв. 534, Кобеляки, 04178",089 272 39 97,ierchenkomilena@example.org
Кащенко,Леонтій,Олесьович,Чоловік,2006.12.14,Петрограф,місто Чоп,"сквер Зернова, буд. 5 кв. 556, Лиман , 31922",+380 98 902 21 89,radchenkoboleslav@example.com
Гунько,Соломон,Юстиніанівна,Чоловік,1961.12.29,Хореограф,село Шпола,"проспект Гаршина, буд. 7 кв. 80, Тернопіль, 85503",+380 56 677-14-74,rneporozhnii@example.net
Лисенко,Мирослав,Климентівна,Чоловік,1963.04.09,Патологоанатом,село Батурин,"набережна Східний 1-й, буд. 626, Збараж, 36508",+380 64 039 38 44,baranetsleopold@example.net
Яремчук,Богуслав,Гаврилівна,Чоловік,1976.03.26,Соціолог,місто Чорноморськ,"набережна Романа Кармена, буд. 2, Соледар, 21227",+380 30 464-80-80,teodorieroshenko@example.com
Юрчишин,Марта,Зосимівна,Жінка,1975.09.24,Вчитель,хутір Тернопіль,"вулиця Ростовська, буд. 6 кв. 17, Городище , 68773",+380 26 403 69 69,onysymakymenko@example.com
Дараган,Одарка,Лідійовна,Жінка,1955.03.01,Сценарист,місто Прип'ять ,"площа Нафтовиків 3-й, буд. 18, Старий Крим, 96932",124 76 60,frantsiakymenko@example.net
Матвієнко,Віолетта,Михайлович,Жінка,1960.03.02,Літературознавець,селище Деражня,"проспект Льва Симиренка, буд. 062, Боково-Хрустальне, 47314",004 956-24-96,qzabara@example.org
Франко,Святослава,Гаврилівна,Жінка,1995.03.10,Паблік рилейшнз,селище Судак ,"сквер Чорноморський 12-й, буд. 2 кв. 9, Дніпрорудне, 64990",044 152 57 71,nehodaavrelii@example.com
Цимбал,Вʼячеслав,Антігонівна,Чоловік,1951.05.19,Режисер,хутір Ічня,"вулиця Некрасова, буд. 3 кв. 2, Біла Церква, 19159",+380 49 778-21-58,umoskal@example.com
Бабич,Мартин,Семіонівна,Чоловік,1967.10.18,Медик,хутір Курахове,"провулок Листяна, буд. 8 кв. 9, Камінь-Каширський, 35912",+380 08 099-44-37,lsemenchenko@example.org
Байрак,Зорян,Назаріївна,Чоловік,1964.12.25,Провізор,хутір Тростянець,"парк В’ячеслава Чорновола, буд. 3 кв. 64, Вовчанськ, 44312",+380 95 405-03-09,nataliia35@example.org
Килимник,Альберт,Юхимович,Чоловік,1991.06.04,Кур'єр,місто Броди,"проспект Молодогвардійська, буд. 3, Зміїв, 93687",+380 (99) 518-38-22,bazylevychmaksym@example.com
Данькевич,Валерій,Горгоніївна,Чоловік,1998.05.20,Драматург,місто Сокиряни,"проспект Дачний 1-й, буд. 556 кв. 5, Макіївка, 60944",+380 20 436-18-77,pkharchenko@example.org
Тимченко,Ростислав,Юрійович,Чоловік,2006.12.18,Водій,селище Носівка,"площа Світла, буд. 2, Костопіль, 50460",+380 (78) 189-09-21,anitabhydenko@example.org
Негода,Камілла,Всеволодівна,Жінка,1995.11.14,Дантист,хутір Мала Виска,"проспект Український 3-й, буд. 1, Судова Вишня, 19646",+380 00 748 13 78,oleh10@example.net
Заєць,Соломія,Андронікович,Жінка,1980.07.02,Складальник,хутір Таврійськ,"площа Лінія 25-та, буд. 3 кв. 5, Борщів, 34261",527 17 27,frantssimashkevych@example.net
Батюк,Розалія,Васильович,Жінка,1969.07.06,Продюсер,хутір Чугуїв,"узвіз Ушинського, буд. 581 кв. 429, Брянка, 40808",+380 (51) 312-03-46,edytaoberemko@example.com
Цибуленко,Ярина,Феофанівна,Жінка,1959.05.15,Мовознавець,село Костянтинівка,"вулиця Лїнія 1-ша, буд. 584, Моспине, 57066",018 862-04-96,xhodunok@example.net
Шило,Ігнат,Володиславівна,Чоловік,1965.10.14,Математик,місто Жмеринка,"набережна 12-та Суворовська, буд. 7 кв. 5, Березівка, 28334",008 917-15-38,ostapilienko@example.net
Ґерус,Костянтин,Никифорівна,Чоловік,2001.09.26,Ді-джей,місто Умань,"узвіз Професора Коровицького, буд. 44, Сніжне, 51491",019 362 08 82,dlutsenko@example.net
Килимник,Валерій,Юстиніанівна,Чоловік,1975.08.21,Пілот,селище Камінь-Каширський,"набережна Польова, буд. 912, Чернігів, 49199",+380 19 216-99-97,vashchukstefan@example.com
Мірошниченко,Трохим,Олесьович,Чоловік,1974.08.05,Електротехнік,місто Монастириська,"сквер 21-й км Старокиївської дороги, буд. 18 кв. 91, Джанкой, 74170",+380 03 620 12 53,radchenkoanzhela@example.com
Колодуб,Марко,Макарович,Чоловік,1988.10.01,М'ясник,хутір Христинівка,"провулок Госпітальний, буд. 3 кв. 38, Моршин, 23290",+380 (32) 096-19-80,kabanenkostefan@example.net
Єрошенко,Охрім,Олексіївна,Чоловік,1979.10.08,Гицель,селище Черкаси,"проспект Хаджибейський 2-й, буд. 113 кв. 157, Бершадь, 23225",+380 26 153-42-77,kostiantyn78@example.com
Токар,Володимира,Федосіївна,Жінка,1969.06.08,Кінорежисер,місто Хмельницький,"вулиця Ботанічний, буд. 5, Кальміуське, 12296",360 47 34,fartushniaksviatoslava@example.net
Вакуленко,Христина,Юріївна,Жінка,1970.06.24,Хореограф,село Старобільськ,"шосе Довга, буд. 2 кв. 011, Звенигородка, 03563",250-85-02,marusiastets@example.org
Москаль,Ярина,Климентівна,Жінка,1973.06.24,Круп'є,село Калуш,"вулиця Тролейбусна, буд. 9 кв. 3, Ржищів, 58095",+380 81 800 43 59,tetianakorbut@example.net
Василевич,Марта,Юхимович,Жінка,1963.11.03,Ботанік,селище Глухів,"набережна Сьома, буд. 02, Миронівка, 91969",052-81-17,ytovstukha@example.com
Височан,Венедикт,Семенівна,Чоловік,2005.01.23,Маркетолог,селище Першотравенськ,"узвіз Героїв прикордонників, буд. 6 кв. 56, Генічеськ, 24054",301-63-10,dubasamaliia@example.org
Масляк,Максим,Святославівна,Чоловік,1963.07.31,Мікробіолог,хутір Євпаторія,"провулок Вільгельма Габсбурга, буд. 802, Шаргород, 86980",011 834-27-88,bohuslav45@example.net
Ємець,Віктор,Горгоніївна,Чоловік,1978.11.26,Епідеміолог,село П'ятихатки,"узвіз Марсельська, буд. 840, Глиняни, 19591",020 656 33 40,ihnathaidabura@example.org
Жадан,Ігнат,Валентинівна,Чоловік,1997.11.20,Палеонтолог,селище Червоносів,"провулок Бузкова, буд. 80, Жовті Води, 81174",+380 28 400-96-32,erika15@example.net
Барабаш,Едуард,Іпатіївна,Чоловік,1970.04.06,Слідчий,хутір Горохів,"сквер Дворянська, буд. 0 кв. 3, Гірське, 92146",137 07 50,sycholha@example.net
Бгиденко,Дан,Валентинівна,Чоловік,1954.11.12,Провізор,хутір Світлодарськ,"провулок Харківська, буд. 9, Фастів, 38785",+380 49 275-92-36,atroshchenkohordii@example.com
Усик,Богданна,Силуанівна,Жінка,1985.11.24,Кіноактор,село Городище ,"проспект Тульська, буд. 99, Балаклія, 21078",+380 24 606 28 65,oiarosh@example.com
Ярош,Орина,Афанасіївна,Жінка,1974.08.28,Філолог,село Дубляни,"вулиця 1-ша Лінія Марії Демченко, буд. 593, Торецьк, 05614",043 743-39-94,olhavivcharenko@example.org
Байда,Алла,Олексіївна,Жінка,1961.05.24,Штукатур,село Апостолове,"площа Леваневського, буд. 238 кв. 38, Соледар, 02880",+380 (78) 302-74-14,hmykytiuk@example.net
Верменич,Михайлина,Натанович,Жінка,1960.10.05,Дизайнер,селище Хрустальний,"сквер Обільний 1-й, буд. 809 кв. 5, Тернівка , 09743",+380 11 740-97-89,ievhenpanchuk@example.com
Яременко,Олег,Юстиніанівна,Чоловік,1985.01.04,Ріелтор,селище Кременчук,"узвіз Садова 5-та, буд. 39, Шумськ, 71447",+380 29 696-86-82,terezaderehus@example.com
Заїка,Остап,Володиславівна,Чоловік,1972.09.21,Нотаріус,селище Чуднів,"шосе Тепла, буд. 32 кв. 2, Хмельницький, 74391",+380 60 228 03 70,zaporozhetstetiana@example.org
Зінкевич,Антон,Феодорівна,Чоловік,1983.06.06,Журналіст,місто Охтирка,"провулок Академіка Воробйова, буд. 136, Помічна, 76550",+380 26 596-15-88,artemdzhun@example.net
Вакуленко,Остап,Агапіївна,Чоловік,2003.10.05,Перекладач,хутір Керч,"сквер Онезька, буд. 470 кв. 5, Біла Церква, 10335",081 798-96-78,khrystynakalchenko@example.org
Гавриленко,Валентин,Дмитрович,Чоловік,1963.08.18,Швачка,місто Березань ,"парк Морський, буд. 093 кв. 2, Приморськ (Україна), 67377",595-93-79,zlatoslavaskoryk@example.org
Носаченко,Олесь,Всеволодівна,Чоловік,1999.08.03,Кінокритик,селище Червоносів,"шосе Лесі Українки, буд. 14 кв. 44, Мостиська, 84023",094 551 79 71,kostiantynlahoda@example.com
Шаповал,Анастасія,Анісіївна,Жінка,2004.06.27,Паблік рилейшнз,село Інкерман,"площа Красна, буд. 9 кв. 114, Тальне, 94343",+380 (90) 552-89-16,dtsarenko@example.net
Бабак,Єва,Макарович,Жінка,2003.03.09,Кіноактор,хутір Курахове,"провулок Дубовий гай, буд. 189 кв. 150, Привілля, 98666",075 183 89 73,babrahamovskyi@example.org
Приймак,Софія,Єфремівна,Жінка,1970.03.03,Живописець,хутір Збараж,"площа Спартаківська, буд. 012 кв. 39, Тисмениця, 35415",+380 17 500-49-44,bbezborodko@example.com
Гаврилюк,Роксолана,Зосимівна,Жінка,1972.05.30,Продюсер,село Шаргород,"сквер Альпіністів, буд. 63 кв. 69, Борзна, 21464",023 503 32 25,nhrytsenko@example.org
Кибкало,Роман,Валентинівна,Чоловік,1968.11.07,Антрополог,хутір Буськ,"провулок Небесної Сотні, буд. 538, Кролевець, 73417",070 219 22 70,vlasiukartem@example.com
Гайдабура,Симон,Олесьович,Чоловік,1997.01.01,Дизайнер,селище Свалява,"парк Восьмого березня 2-й, буд. 25 кв. 8, Ічня, 49839",+380 89 491-99-98,ruslan94@example.org
Ґереґа,Валерій,Володимирівна,Чоловік,1981.08.27,Інженер,село Вижниця,"проспект Житкова, буд. 9, Дружківка, 55430",+380 47 375-28-17,esuprunenko@example.net
Гаврюшенко,Олег,Лідійовна,Чоловік,1955.04.20,Складальник,селище Зборів,"шосе Недєліна, буд. 4 кв. 26, Косів, 38704",+380 72 506-17-90,demianenkoteodor@example.net
Дзиндра,Данило,Никифорівна,Чоловік,1962.08.14,Археолог,хутір Вільногірськ,"парк Ползунова 1-й, буд. 268, Белз, 60642",+380 06 343 95 81,vonufriienko@example.com
Шовкопляс,Тарас,Корнеліївна,Чоловік,1991.12.24,Льотчик,місто Старий Крим,"набережна Чорноморський 11-й, буд. 106 кв. 361, Феодосія, 32346",995 66 56,danylenkosolomon@example.com
Носаченко,Лілія,Юхимівна,Жінка,2001.10.05,Машиніст,селище Зугрес,"площа Бреуса, буд. 279, Долинська, 84552",356 49 93,azar59@example.com
Романенко,Марія,Андриянівна,Жінка,1954.07.07,Нотаріус,село Костопіль,"провулок Відважних, буд. 3, Соледар, 04974",623 16 35,terezazhalilo@example.org
Дзюба,Роксолана,Тимофіївна,Жінка,1968.02.19,Музикознавець,селище Снятин,"сквер Бузковий, буд. 3 кв. 23, Дубно, 28213",+380 07 299-37-13,iartym@example.com
Батуринець,Богданна,Давидович,Жінка,1954.06.27,Кінорежисер,село Новгород-Сіверський,"проспект Леваневського тупик, буд. 3, Любомль, 07337",+380 25 256-75-20,gzinchenko@example.com
Щербань,Алевтин,Юхимович,Чоловік,1996.11.07,Пекар,село Васильків,"парк Гагаріна, буд. 058 кв. 83, Копичинці, 85386",652 69 01,chubaipriska@example.com
Токар,Панас,Даніїлівна,Чоловік,1993.06.02,Бізнесмен,місто Біла Церква,"провулок Керченський 1-й, буд. 482 кв. 6, Нікополь, 47948",+380 12 831 42 51,korzhemiliia@example.net
Захарченко,Борис,Макарович,Чоловік,1979.10.25,Професор,селище Костопіль,"проспект Офіцерський 2-й, буд. 64 кв. 448, Корсунь-Шевченківський, 78191",041 170 69 72,aaronchornovil@example.net
Фартушняк,Трохим,Гаврилівна,Чоловік,1993.01.12,Намотувальник,хутір Новодністровськ,"провулок Танкерна, буд. 24 кв. 93, Ізмаїл, 77393",030 265-99-90,fdeisun@example.net
Гриценко,Віталій,Всеславівна,Чоловік,1973.08.19,Паралегал,селище Нововолинськ,"набережна Братська, буд. 754 кв. 6, Мена , 90636",+380 13 719 54 82,uparasiuk@example.org
Ємець,Григорій,Макарович,Чоловік,1963.05.28,Лікар,хутір Новомосковськ,"площа Ямська, буд. 96 кв. 809, Чортків, 37128",+380 (20) 914-80-82,oadamchuk@example.org
Якимчук,Пріска,Валеріївна,Жінка,2001.08.04,Юрист,село Богуслав,"парк Локомотивний 2-й, буд. 3, Гуляйполе, 56344",+380 (67) 887-27-86,zabashtaklyment@example.org
Заєць,Наталія,Ростиславівна,Жінка,1987.10.27,Державний службовець,місто Суходільськ,"парк Єфімова, буд. 059, Горішні Плавні, 37842",092 700 36 97,holoborodkoivan@example.org
Пʼятаченко,Олена,Корнеліївна,Жінка,1963.11.15,Піаніст,місто Шумськ,"вулиця Студентський, буд. 802, Кілія, 63798",+380 56 931-84-10,iakovenkoiukhym@example.com
Єрьоменко,Олена,Зосимівна,Жінка,1958.09.04,Мірошник,хутір Знам'янка,"узвіз Хутірська, буд. 019, Біляївка, 59086",341-69-37,onyshchenkoiaroslava@example.net
Іваненко,Орхип,Антінович,Чоловік,1956.01.08,Детектив,хутір Семенівка,"проспект Маяковського, буд. 5, Нетішин, 75432",326-84-52,boleslav96@example.com
Симоненко,Опанас,Антінович,Чоловік,1991.07.08,Фрілансер,місто Шаргород,"сквер Дальницька, буд. 7, Гайворон, 51386",919-34-31,chalyiada@example.net
Свистун,Микита,Федорович,Чоловік,1974.07.19,Дерун,селище Середина-Буда,"шосе Героїв оборони Одеси, буд. 95 кв. 98, Підгайці, 94764",200 84 20,isaienkoheorhii@example.com
Худобʼяк,Герман,Болеславівна,Чоловік,1988.12.10,Композитор,селище Радехів,"проспект 15-та Суворовська, буд. 47, Снігурівка, 50891",092 661 74 72,bohuslav28@example.net
Валенко,Макар,Філімонівна,Чоловік,1996.11.15,Журналіст,хутір Інкерман,"сквер Грецький, буд. 0, Чугуїв, 27950",+380 17 186-24-51,bhavrylyshyn@example.org
Андрієвич,Мирослав,Григоріївна,Чоловік,1974.09.21,Лікар,місто Бахмут,"площа Радіо, буд. 702 кв. 18, Кам'янка-Дніпровська, 09166",+380 03 668-66-73,ypetrenko@example.net
Овчаренко,Світлана,Антігонівна,Жінка,1956.03.26,Кінорежисер,хутір Чорноморськ,"сквер Деволанівський узвіз, буд. 315, Кам'янка-Бузька, 73068",058 76 05,violettapiatachenko@example.org
Аронець,Роксолана,Антінович,Жінка,1966.10.30,Архітектор,село Лисичанськ,"площа Селекційний, буд. 4 кв. 02, Ізяслав, 12515",029 330-52-87,geregaiarema@example.com
Сагаль,Лариса,Єфросинівна,Жінка,1963.07.29,Ріелтор,місто Горлівка,"вулиця Балтський 4-й, буд. 01 кв. 110, Тетіїв, 44131",+380 23 012-64-01,iaremkivzakhar@example.org
Жадан,Розалія,Іларіонівна,Жінка,1970.06.02,Економіст,село Зугрес,"парк Тупиковий, буд. 29 кв. 6, Новоселиця, 72514",+380 (54) 716-31-68,khoma78@example.net
Скопенко,Василь,Григоріївна,Чоловік,1960.09.03,Кушнір,село Ізюм,"узвіз Водопровідний 1-й, буд. 4, Косів, 88128",103-73-76,levko90@example.net
Андрощук,Вʼячеслав,Єфремівна,Чоловік,1997.01.03,Медик,село Монастирище,"набережна Хімічний 1-й, буд. 671 кв. 93, Рубіжне, 29198",+380 73 903 66 78,parmencharnysh@example.com
Деркач,Назар,Трифонівна,Чоловік,1957.03.14,Музичний редактор,місто Бориспіль,"сквер Сурикова, буд. 18 кв. 44, Кипуче, 95594",+380 51 364-06-58,kaverchenko@example.net
Вишиваний,Ігор,Давидович,Чоловік,1957.08.20,Астронавт,селище Миронівка,"узвіз Кренкеля, буд. 021, Армянськ, 71657",267-89-00,lizatelizhenko@example.net
Дутка,Болеслав,Гаврилівна,Чоловік,1992.05.09,Адвокат,селище Балаклія,"вулиця Флотський 2-й, буд. 3, Куп'янськ, 98122",017 417 53 66,albert12@example.com
Верховинець,Альберт,Климентівна,Чоловік,1969.03.15,Філолог,хутір Малин,"шосе Василя Кандинського 1-й, буд. 4 кв. 9, Немирів, 91653",039 130 51 39,ivanenkonadiia@example.org
Тихий,Юстина,Семіонівна,Жінка,1952.06.10,Круп'є,хутір Світлодарськ,"сквер Композитора Ніщинського, буд. 6, Дубляни, 53628",075 936-93-74,solomon25@example.net
Наливайко,Марія,Симонівна,Жінка,2004.09.01,Швачка,селище Сорокине,"парк 2-й Академічний тупик, буд. 98, Охтирка, 88912",+380 (91) 733-36-37,anitazhaivoron@example.org
